t,u,w,q,theta,alpha_deg,V_mps,de_cmd_deg,saturated
1.2800,-4.4476,6.4988,2.6448,0.4429,13.5000,15.6865,-15.0000,1
1.2850,-4.5823,6.6486,2.6537,0.4561,13.5000,15.5524,-15.0000,1
1.2900,-4.7175,6.7968,2.6620,0.4693,13.5000,15.4177,-15.0000,1
1.2950,-4.8532,6.9435,2.6696,0.4827,13.5000,15.2825,-15.0000,1
1.3000,-4.9894,7.0884,2.6767,0.4960,13.5000,15.1468,-15.0000,1
1.3050,-5.1260,7.2317,2.6832,0.5094,13.5000,15.0106,-15.0000,1
1.3100,-5.2631,7.3733,2.6892,0.5228,13.5000,14.8740,-15.0000,1
1.3150,-5.4005,7.5132,2.6946,0.5362,13.5000,14.7369,-15.0000,1
1.3200,-5.5383,7.6514,2.6996,0.5497,13.5000,14.5995,-15.0000,1
1.3250,-5.6764,7.7878,2.7042,0.5632,13.5000,14.4617,-15.0000,1
1.3300,-5.8148,7.9225,2.7083,0.5767,13.5000,14.3236,-15.0000,1
1.3350,-5.9535,8.0555,2.7120,0.5903,13.5000,14.1852,-15.0000,1
1.3400,-6.0925,8.1868,2.7154,0.6038,13.5000,14.0465,-15.0000,1
1.3450,-6.2317,8.3163,2.7184,0.6174,13.5000,13.9075,-15.0000,1
1.3500,-6.3711,8.4440,2.7211,0.6310,13.5000,13.7683,-15.0000,1
1.3550,-6.5108,8.5701,2.7235,0.6446,13.5000,13.6289,-15.0000,1
1.3600,-6.6506,8.6944,2.7256,0.6582,13.5000,13.4892,-15.0000,1
1.3650,-6.7906,8.8170,2.7274,0.6719,13.5000,13.3494,-15.0000,1
1.3700,-6.9308,8.9379,2.7290,0.6855,13.5000,13.2094,-15.0000,1
1.3750,-7.0711,9.0571,2.7303,0.6991,13.5000,13.0692,-15.0000,1
1.3800,-7.2115,9.1746,2.7314,0.7128,13.5000,12.9289,-15.0000,1
1.3850,-7.3520,9.2904,2.7322,0.7265,13.5000,12.7885,-15.0000,1
1.3900,-7.4927,9.4046,2.7329,0.7401,13.5000,12.6480,-15.0000,1
1.3950,-7.6334,9.5172,2.7334,0.7538,13.5000,12.5073,-15.0000,1
1.4000,-7.7743,9.6281,2.7337,0.7674,13.5000,12.3666,-15.0000,1
1.4050,-7.9152,9.7374,2.7339,0.7811,13.5000,12.2257,-15.0000,1
1.4100,-8.0561,9.8451,2.7339,0.7948,13.5000,12.0848,-15.0000,1
1.4150,-8.1972,9.9513,2.7337,0.8085,13.5000,11.9439,-15.0000,1
1.4200,-8.3382,10.0559,2.7335,0.8221,13.5000,11.8028,-15.0000,1
1.4250,-8.4793,10.1589,2.7331,0.8358,13.5000,11.6618,-15.0000,1
1.4300,-8.6204,10.2605,2.7326,0.8495,13.5000,11.5207,-15.0000,1
1.4350,-8.7616,10.3606,2.7319,0.8631,13.5000,11.3796,-15.0000,1
1.4400,-8.9027,10.4592,2.7312,0.8768,13.5000,11.2384,-15.0000,1
1.4450,-9.0439,10.5563,2.7304,0.8904,13.5000,11.0973,-15.0000,1
1.4500,-9.1850,10.6520,2.7295,0.9041,13.5000,10.9561,-15.0000,1
1.4550,-9.3262,10.7463,2.7285,0.9177,13.5000,10.8150,-15.0000,1
1.4600,-9.4673,10.8393,2.7275,0.9314,13.5000,10.6738,-15.0000,1
1.4650,-9.6085,10.9308,2.7263,0.9450,13.5000,10.5327,-15.0000,1
1.4700,-9.7496,11.0210,2.7252,0.9586,13.5000,10.3915,-15.0000,1
1.4750,-9.8907,11.1099,2.7239,0.9723,13.5000,10.2504,-15.0000,1
