dt_ms,abs_dt_ms
-7.9891,7.9891
-0.5126,0.5126
-0.8556,0.8556
1.6290,1.6290
-1.6783,1.6783
2.6235,2.6235
1.2298,1.2298
4.8506,4.8506
-2.8503,2.8503
3.0175,3.0175
11.7230,11.7230
-5.6337,5.6337
-6.5434,6.5434
9.6958,9.6958
-0.4081,0.4081
-1.9212,1.9212
-6.9480,6.9480
3.3119,3.3119
4.3040,4.3040
-1.5940,1.5940
-10.1519,10.1519
4.9894,4.9894
2.1830,2.1830
14.2647,14.2647
6.1467,6.1467
3.1404,3.1404
-3.0213,3.0213
3.9313,3.9313
-3.3382,3.3382
-8.2249,8.2249
2.9213,2.9213
-16.4611,16.4611
-6.4077,6.4077
-6.3268,6.3268
3.8800,3.8800
-5.3079,5.3079
10.2875,10.2875
-3.1732,3.1732
-4.2507,4.2507
-4.1983,4.1983
-4.5213,4.5213
-1.8163,1.8163
7.5971,7.5971
3.8822,3.8822
4.6431,4.6431
-4.8455,4.8455
3.4596,3.4596
1.8440,1.8440
6.9276,6.9276
-1.6944,1.6944
-2.6485,2.6485
6.9600,6.9600
3.4049,3.4049
2.7669,2.7669
4.3105,4.3105
-1.1500,1.1500
2.0284,2.0284
5.2691,5.2691
2.6080,2.6080
4.4799,4.4799
2.6343,2.6343
3.3087,3.3087
-4.0781,4.0781
-3.8954,3.8954
-7.1333,7.1333
8.0115,8.0115
8.8210,8.8210
-3.1610,3.1610
-1.4755,1.4755
-8.9114,8.9114
-5.6608,5.6608
6.1415,6.1415
-2.2758,2.2758
13.9365,13.9365
7.8357,7.8357
5.1321,5.1321
-3.6410,3.6410
2.5320,2.5320
1.4677,1.4677
-7.2514,7.2514
-5.7739,5.7739
-5.0028,5.0028
10.7237,10.7237
-1.4620,1.4620
-5.7536,5.7536
-2.7118,2.7118
4.2085,4.2085
-2.7174,2.7174
3.0684,3.0684
-3.6286,3.6286
3.3256,3.3256
4.4945,4.4945
6.5783,6.5783
0.0786,0.0786
0.9386,0.9386
2.2802,2.2802
-5.0612,5.0612
1.7752,1.7752
4.2905,4.2905
-3.0930,3.0930
-4.0152,4.0152
-6.7912,6.7912
-8.0603,8.0603
-3.0241,3.0241
-3.7354,3.7354
-1.4296,1.4296
-1.6152,1.6152
0.4332,0.4332
-7.0770,7.0770
5.7707,5.7707
1.3787,1.3787
-15.8170,15.8170
-9.2333,9.2333
3.1194,3.1194
0.1293,0.1293
-0.8318,0.8318
1.7664,1.7664
-5.2978,5.2978
-2.5755,2.5755
-4.8956,4.8956
